customer_id,customer_name,signup_date,industry,company_size
1,Company_0001,2023-04-21,Healthcare,1-10
2,Company_0002,2024-10-09,Retail,11-50
3,Company_0003,2024-04-24,Healthcare,51-200
4,Company_0004,2023-12-18,Healthcare,51-200
5,Company_0005,2022-07-02,Technology,1-10
6,Company_0006,2022-07-08,Consulting,51-200
7,Company_0007,2022-02-18,Retail,201-500
8,Company_0008,2024-08-23,Consulting,11-50
9,Company_0009,2023-12-15,Logistics,11-50
10,Company_0010,2024-03-28,Technology,201-500
11,Company_0011,2022-01-06,Media,11-50
12,Company_0012,2024-11-05,Retail,1000+
13,Company_0013,2024-07-11,Healthcare,1-10
14,Company_0014,2022-09-04,Manufacturing,201-500
15,Company_0015,2022-08-20,Education,201-500
16,Company_0016,2022-08-24,Real Estate,51-200
17,Company_0017,2023-01-13,Healthcare,51-200
18,Company_0018,2023-09-27,Logistics,501-1000
19,Company_0019,2023-06-12,Logistics,11-50
20,Company_0020,2023-01-03,Technology,51-200
21,Company_0021,2024-01-25,Education,1000+
22,Company_0022,2022-07-28,Retail,501-1000
23,Company_0023,2023-01-13,Education,51-200
24,Company_0024,2023-03-27,Manufacturing,11-50
25,Company_0025,2023-07-12,Retail,51-200
26,Company_0026,2024-06-23,Healthcare,51-200
27,Company_0027,2022-09-06,Consulting,201-500
28,Company_0028,2023-09-06,Real Estate,11-50
29,Company_0029,2023-12-21,Consulting,11-50
30,Company_0030,2022-02-11,Technology,11-50
31,Company_0031,2024-01-02,Manufacturing,11-50
32,Company_0032,2022-08-03,Retail,501-1000
33,Company_0033,2022-03-19,Manufacturing,11-50
34,Company_0034,2024-10-16,Media,501-1000
35,Company_0035,2024-11-21,Real Estate,1-10
36,Company_0036,2024-06-05,Retail,201-500
37,Company_0037,2023-01-18,Education,201-500
38,Company_0038,2022-04-14,Logistics,11-50
39,Company_0039,2024-02-08,Finance,51-200
40,Company_0040,2023-06-03,Technology,501-1000
41,Company_0041,2022-06-05,Finance,201-500
42,Company_0042,2023-08-14,Logistics,1-10
43,Company_0043,2022-02-13,Logistics,1000+
44,Company_0044,2024-09-17,Education,1000+
45,Company_0045,2022-12-28,Technology,51-200
46,Company_0046,2024-02-04,Consulting,201-500
47,Company_0047,2023-02-25,Manufacturing,1-10
48,Company_0048,2023-09-14,Finance,51-200
49,Company_0049,2023-10-24,Education,1000+
50,Company_0050,2022-08-25,Finance,51-200
51,Company_0051,2024-11-04,Education,201-500
52,Company_0052,2024-05-17,Logistics,11-50
53,Company_0053,2024-10-12,Finance,51-200
54,Company_0054,2024-09-25,Consulting,501-1000
55,Company_0055,2023-12-20,Manufacturing,51-200
56,Company_0056,2024-09-04,Manufacturing,501-1000
57,Company_0057,2022-04-27,Education,11-50
58,Company_0058,2022-09-08,Logistics,501-1000
59,Company_0059,2022-02-03,Real Estate,201-500
60,Company_0060,2023-02-25,Consulting,201-500
61,Company_0061,2023-04-05,Real Estate,501-1000
62,Company_0062,2023-01-06,Education,51-200
63,Company_0063,2024-07-20,Media,1000+
64,Company_0064,2023-03-18,Retail,201-500
65,Company_0065,2023-01-13,Manufacturing,11-50
66,Company_0066,2023-10-17,Real Estate,1-10
67,Company_0067,2022-07-08,Healthcare,11-50
68,Company_0068,2024-06-19,Consulting,11-50
69,Company_0069,2022-03-08,Technology,1-10
70,Company_0070,2024-12-21,Technology,11-50
71,Company_0071,2024-05-02,Manufacturing,1-10
72,Company_0072,2022-09-08,Education,51-200
73,Company_0073,2022-01-07,Consulting,1-10
74,Company_0074,2024-07-19,Logistics,51-200
75,Company_0075,2024-03-26,Real Estate,201-500
76,Company_0076,2024-04-07,Healthcare,1-10
77,Company_0077,2024-05-14,Manufacturing,11-50
78,Company_0078,2022-03-15,Technology,51-200
79,Company_0079,2023-03-21,Healthcare,1-10
80,Company_0080,2022-05-24,Manufacturing,201-500
81,Company_0081,2024-08-04,Retail,11-50
82,Company_0082,2024-01-18,Real Estate,1-10
83,Company_0083,2023-02-06,Education,51-200
84,Company_0084,2022-03-28,Healthcare,11-50
85,Company_0085,2023-02-28,Consulting,1-10
86,Company_0086,2023-02-21,Consulting,201-500
87,Company_0087,2024-04-03,Retail,11-50
88,Company_0088,2024-01-16,Real Estate,11-50
89,Company_0089,2024-09-13,Technology,11-50
90,Company_0090,2023-08-01,Media,11-50
91,Company_0091,2022-06-26,Real Estate,11-50
92,Company_0092,2024-03-23,Consulting,51-200
93,Company_0093,2024-05-16,Finance,11-50
94,Company_0094,2023-10-07,Technology,51-200
95,Company_0095,2024-05-18,Technology,201-500
96,Company_0096,2023-08-02,Technology,51-200
97,Company_0097,2023-09-17,Consulting,11-50
98,Company_0098,2023-06-17,Healthcare,501-1000
99,Company_0099,2022-01-03,Logistics,1-10
100,Company_0100,2022-05-28,Retail,11-50
101,Company_0101,2022-02-19,Retail,51-200
102,Company_0102,2024-01-02,Logistics,1-10
103,Company_0103,2023-02-22,Logistics,51-200
104,Company_0104,2023-09-11,Education,11-50
105,Company_0105,2024-09-23,Manufacturing,11-50
106,Company_0106,2022-11-13,Finance,51-200
107,Company_0107,2023-05-10,Real Estate,11-50
108,Company_0108,2024-05-25,Healthcare,1-10
109,Company_0109,2022-10-20,Logistics,1000+
110,Company_0110,2022-03-03,Consulting,11-50
111,Company_0111,2023-01-09,Finance,501-1000
112,Company_0112,2022-08-03,Retail,11-50
113,Company_0113,2024-10-06,Real Estate,201-500
114,Company_0114,2024-06-23,Education,51-200
115,Company_0115,2024-01-26,Consulting,1-10
116,Company_0116,2024-08-27,Consulting,11-50
117,Company_0117,2024-06-22,Healthcare,501-1000
118,Company_0118,2022-08-05,Education,1-10
119,Company_0119,2024-09-04,Consulting,11-50
120,Company_0120,2023-10-10,Logistics,11-50
121,Company_0121,2024-06-11,Retail,51-200
122,Company_0122,2024-09-28,Education,51-200
123,Company_0123,2023-02-09,Technology,1-10
124,Company_0124,2022-05-14,Education,1-10
125,Company_0125,2022-10-11,Finance,51-200
126,Company_0126,2023-06-09,Finance,201-500
127,Company_0127,2024-07-18,Media,51-200
128,Company_0128,2024-08-04,Healthcare,501-1000
129,Company_0129,2022-01-23,Finance,51-200
130,Company_0130,2023-09-27,Manufacturing,51-200
131,Company_0131,2023-06-05,Media,1-10
132,Company_0132,2022-10-10,Manufacturing,501-1000
133,Company_0133,2022-06-26,Technology,501-1000
134,Company_0134,2023-02-07,Retail,51-200
135,Company_0135,2024-10-12,Consulting,501-1000
136,Company_0136,2023-02-14,Logistics,201-500
137,Company_0137,2023-09-08,Finance,1000+
138,Company_0138,2024-03-26,Finance,501-1000
139,Company_0139,2023-03-01,Finance,201-500
140,Company_0140,2024-11-11,Media,201-500
141,Company_0141,2024-11-28,Retail,11-50
142,Company_0142,2022-11-26,Healthcare,11-50
143,Company_0143,2023-08-02,Real Estate,11-50
144,Company_0144,2023-01-27,Real Estate,11-50
145,Company_0145,2023-01-27,Retail,11-50
146,Company_0146,2022-02-22,Retail,11-50
147,Company_0147,2024-01-09,Healthcare,1000+
148,Company_0148,2023-09-09,Manufacturing,51-200
149,Company_0149,2022-02-13,Consulting,11-50
150,Company_0150,2023-01-01,Healthcare,501-1000
151,Company_0151,2024-09-09,Finance,51-200
152,Company_0152,2022-11-09,Technology,1-10
153,Company_0153,2022-07-14,Manufacturing,201-500
154,Company_0154,2023-08-11,Media,51-200
155,Company_0155,2024-12-17,Healthcare,11-50
156,Company_0156,2022-11-19,Retail,11-50
157,Company_0157,2024-02-23,Media,1-10
158,Company_0158,2024-05-26,Consulting,51-200
159,Company_0159,2022-11-24,Retail,11-50
160,Company_0160,2024-04-03,Manufacturing,51-200
161,Company_0161,2023-03-22,Healthcare,201-500
162,Company_0162,2024-01-10,Consulting,11-50
163,Company_0163,2024-01-14,Manufacturing,11-50
164,Company_0164,2023-09-10,Consulting,1-10
165,Company_0165,2022-04-14,Media,51-200
166,Company_0166,2024-07-06,Logistics,51-200
167,Company_0167,2023-02-13,Consulting,201-500
168,Company_0168,2022-08-10,Education,11-50
169,Company_0169,2022-02-26,Logistics,51-200
170,Company_0170,2023-12-11,Real Estate,11-50
171,Company_0171,2024-02-22,Retail,51-200
172,Company_0172,2022-01-26,Finance,51-200
173,Company_0173,2023-09-10,Consulting,51-200
174,Company_0174,2022-10-20,Manufacturing,1-10
175,Company_0175,2024-01-25,Retail,51-200
176,Company_0176,2022-08-08,Retail,1-10
177,Company_0177,2024-02-02,Retail,1000+
178,Company_0178,2023-04-20,Healthcare,51-200
179,Company_0179,2024-10-21,Logistics,11-50
180,Company_0180,2022-06-23,Media,51-200
181,Company_0181,2023-02-08,Finance,51-200
182,Company_0182,2022-05-01,Healthcare,201-500
183,Company_0183,2024-10-08,Finance,201-500
184,Company_0184,2024-08-23,Consulting,51-200
185,Company_0185,2022-12-18,Retail,501-1000
186,Company_0186,2024-02-04,Real Estate,1-10
187,Company_0187,2024-07-15,Consulting,1000+
188,Company_0188,2023-10-20,Manufacturing,1000+
189,Company_0189,2023-09-15,Logistics,201-500
190,Company_0190,2022-11-17,Media,201-500
191,Company_0191,2022-04-18,Real Estate,501-1000
192,Company_0192,2024-09-24,Real Estate,51-200
193,Company_0193,2024-09-25,Retail,201-500
194,Company_0194,2024-01-09,Consulting,51-200
195,Company_0195,2023-02-08,Education,11-50
196,Company_0196,2023-03-23,Education,11-50
197,Company_0197,2024-04-11,Manufacturing,501-1000
198,Company_0198,2024-09-03,Finance,11-50
199,Company_0199,2024-09-13,Finance,201-500
200,Company_0200,2024-05-03,Media,11-50
201,Company_0201,2024-01-18,Real Estate,11-50
202,Company_0202,2022-04-07,Media,11-50
203,Company_0203,2022-08-25,Logistics,501-1000
204,Company_0204,2024-09-01,Logistics,11-50
205,Company_0205,2024-01-01,Manufacturing,11-50
206,Company_0206,2022-01-13,Media,51-200
207,Company_0207,2022-05-24,Consulting,201-500
208,Company_0208,2024-02-08,Real Estate,11-50
209,Company_0209,2022-01-14,Real Estate,1-10
210,Company_0210,2022-08-11,Media,201-500
211,Company_0211,2023-10-27,Real Estate,501-1000
212,Company_0212,2024-02-20,Consulting,1-10
213,Company_0213,2024-02-13,Logistics,51-200
214,Company_0214,2022-10-01,Healthcare,51-200
215,Company_0215,2024-03-05,Real Estate,11-50
216,Company_0216,2022-11-09,Media,11-50
217,Company_0217,2023-02-15,Manufacturing,11-50
218,Company_0218,2024-04-13,Education,201-500
219,Company_0219,2024-02-27,Media,11-50
220,Company_0220,2024-08-03,Real Estate,1-10
221,Company_0221,2024-02-18,Technology,1000+
222,Company_0222,2023-11-12,Retail,51-200
223,Company_0223,2022-04-25,Technology,201-500
224,Company_0224,2023-03-08,Retail,201-500
225,Company_0225,2022-12-20,Finance,11-50
226,Company_0226,2022-11-16,Healthcare,51-200
227,Company_0227,2024-11-07,Real Estate,51-200
228,Company_0228,2023-05-25,Manufacturing,11-50
229,Company_0229,2024-09-20,Healthcare,201-500
230,Company_0230,2024-01-06,Education,1-10
231,Company_0231,2024-06-01,Education,51-200
232,Company_0232,2023-09-13,Media,501-1000
233,Company_0233,2023-11-07,Healthcare,51-200
234,Company_0234,2023-08-27,Retail,1-10
235,Company_0235,2022-09-25,Education,501-1000
236,Company_0236,2024-04-20,Healthcare,201-500
237,Company_0237,2023-01-19,Technology,11-50
238,Company_0238,2022-01-14,Manufacturing,1-10
239,Company_0239,2024-01-21,Manufacturing,1-10
240,Company_0240,2022-08-14,Real Estate,1-10
241,Company_0241,2024-10-12,Real Estate,201-500
242,Company_0242,2024-10-14,Finance,201-500
243,Company_0243,2024-09-21,Education,51-200
244,Company_0244,2023-04-18,Real Estate,51-200
245,Company_0245,2022-01-27,Logistics,11-50
246,Company_0246,2024-10-28,Retail,201-500
247,Company_0247,2023-06-03,Education,501-1000
248,Company_0248,2024-11-08,Real Estate,51-200
249,Company_0249,2024-11-22,Media,11-50
250,Company_0250,2024-08-16,Manufacturing,11-50
251,Company_0251,2023-01-07,Manufacturing,201-500
252,Company_0252,2023-04-11,Education,501-1000
253,Company_0253,2024-08-23,Education,51-200
254,Company_0254,2023-02-17,Retail,1-10
255,Company_0255,2022-08-24,Media,51-200
256,Company_0256,2023-10-25,Retail,51-200
257,Company_0257,2024-10-21,Real Estate,11-50
258,Company_0258,2024-03-01,Healthcare,11-50
259,Company_0259,2023-11-13,Retail,11-50
260,Company_0260,2022-04-19,Manufacturing,51-200
261,Company_0261,2024-01-17,Manufacturing,11-50
262,Company_0262,2024-12-24,Consulting,11-50
263,Company_0263,2022-07-23,Real Estate,11-50
264,Company_0264,2023-09-09,Retail,1-10
265,Company_0265,2024-08-07,Manufacturing,1-10
266,Company_0266,2024-04-18,Finance,11-50
267,Company_0267,2024-03-24,Real Estate,11-50
268,Company_0268,2024-03-19,Consulting,51-200
269,Company_0269,2023-03-04,Retail,11-50
270,Company_0270,2023-01-12,Finance,11-50
271,Company_0271,2024-06-23,Consulting,1-10
272,Company_0272,2024-06-02,Technology,51-200
273,Company_0273,2024-08-23,Finance,51-200
274,Company_0274,2024-09-25,Real Estate,1-10
275,Company_0275,2023-09-01,Logistics,11-50
276,Company_0276,2023-08-16,Real Estate,11-50
277,Company_0277,2024-06-02,Education,501-1000
278,Company_0278,2024-02-16,Healthcare,201-500
279,Company_0279,2024-03-13,Real Estate,1-10
280,Company_0280,2024-06-21,Technology,11-50
281,Company_0281,2024-09-26,Logistics,501-1000
282,Company_0282,2023-02-03,Retail,1-10
283,Company_0283,2023-04-25,Media,51-200
284,Company_0284,2022-04-26,Logistics,11-50
285,Company_0285,2023-11-17,Media,51-200
286,Company_0286,2022-02-15,Education,501-1000
287,Company_0287,2023-07-14,Education,51-200
288,Company_0288,2023-10-02,Logistics,1000+
289,Company_0289,2023-01-04,Retail,51-200
290,Company_0290,2023-12-09,Healthcare,11-50
291,Company_0291,2022-02-06,Consulting,1-10
292,Company_0292,2022-02-01,Media,51-200
293,Company_0293,2024-07-20,Real Estate,11-50
294,Company_0294,2023-03-08,Education,201-500
295,Company_0295,2022-06-23,Real Estate,1-10
296,Company_0296,2023-09-08,Education,201-500
297,Company_0297,2024-05-21,Logistics,51-200
298,Company_0298,2022-10-07,Media,1-10
299,Company_0299,2024-01-08,Finance,501-1000
300,Company_0300,2022-04-27,Finance,1-10
301,Company_0301,2022-02-06,Education,51-200
302,Company_0302,2023-09-27,Logistics,501-1000
303,Company_0303,2023-10-15,Healthcare,51-200
304,Company_0304,2024-01-10,Media,501-1000
305,Company_0305,2024-04-17,Consulting,51-200
306,Company_0306,2024-11-03,Logistics,1-10
307,Company_0307,2023-09-14,Manufacturing,51-200
308,Company_0308,2023-02-01,Healthcare,11-50
309,Company_0309,2024-06-22,Logistics,51-200
310,Company_0310,2023-01-01,Education,51-200
311,Company_0311,2023-06-25,Finance,51-200
312,Company_0312,2022-03-21,Real Estate,501-1000
313,Company_0313,2022-01-06,Logistics,11-50
314,Company_0314,2024-11-27,Real Estate,1000+
315,Company_0315,2024-07-16,Manufacturing,11-50
316,Company_0316,2024-03-11,Healthcare,501-1000
317,Company_0317,2023-05-11,Media,51-200
318,Company_0318,2022-08-10,Media,201-500
319,Company_0319,2022-07-18,Technology,51-200
320,Company_0320,2022-11-11,Education,11-50
321,Company_0321,2023-10-25,Media,501-1000
322,Company_0322,2024-03-27,Technology,51-200
323,Company_0323,2024-02-18,Real Estate,11-50
324,Company_0324,2023-01-07,Consulting,11-50
325,Company_0325,2024-11-25,Real Estate,51-200
326,Company_0326,2024-04-25,Technology,11-50
327,Company_0327,2023-10-18,Finance,501-1000
328,Company_0328,2024-01-15,Real Estate,1-10
329,Company_0329,2023-06-21,Logistics,201-500
330,Company_0330,2022-11-23,Finance,11-50
331,Company_0331,2023-03-01,Consulting,11-50
332,Company_0332,2024-05-08,Healthcare,51-200
333,Company_0333,2022-01-04,Finance,51-200
334,Company_0334,2022-05-23,Education,51-200
335,Company_0335,2022-02-09,Media,201-500
336,Company_0336,2022-02-16,Retail,51-200
337,Company_0337,2024-08-05,Media,11-50
338,Company_0338,2024-03-20,Consulting,201-500
339,Company_0339,2023-08-05,Healthcare,11-50
340,Company_0340,2022-04-26,Media,11-50
341,Company_0341,2023-08-26,Consulting,11-50
342,Company_0342,2023-08-01,Education,201-500
343,Company_0343,2022-08-27,Logistics,51-200
344,Company_0344,2023-06-22,Real Estate,501-1000
345,Company_0345,2023-05-15,Consulting,51-200
346,Company_0346,2024-01-11,Consulting,201-500
347,Company_0347,2024-01-13,Real Estate,501-1000
348,Company_0348,2022-02-28,Retail,1000+
349,Company_0349,2023-04-08,Logistics,11-50
